mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_gamma,param_kernel,param_max_iter,param_shrinking,param_coef0,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
7.391507196426391,0.23891856914291876,0.5590290546417236,0.031620922904345816,0.01,scale,rbf,1000,True,,,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'shrinking': True}",0.5957120980091883,0.5742725880551302,0.557427258805513,0.6140888208269525,0.593558282208589,0.5870118095810746,0.019438360374699454,2057,0.6013021830716201,0.5959402527767139,0.5775564917656071,0.5959402527767139,0.582312404287902,0.5906103169357113,0.009059692483621306
7.670690250396729,0.2144365845843003,0.5590100765228272,0.04784615366043207,0.01,scale,rbf,1000,False,,,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 1000, 'shrinking': False}",0.5957120980091883,0.5742725880551302,0.557427258805513,0.6140888208269525,0.593558282208589,0.5870118095810746,0.019438360374699454,2057,0.6013021830716201,0.5959402527767139,0.5775564917656071,0.5959402527767139,0.582312404287902,0.5906103169357113,0.009059692483621306
8.381237983703613,0.47874354115154605,0.5595823287963867,0.04182589444045199,0.01,scale,rbf,2000,True,,,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 2000, 'shrinking': True}",0.5880551301684533,0.5880551301684533,0.5696784073506891,0.6125574272588055,0.6273006134969326,0.5971293416886667,0.020330115062846477,1981,0.594408272692455,0.6047491382612026,0.598621217924167,0.5947912677135198,0.5980091883614089,0.5981158169905506,0.003716618448689197
7.974115943908691,0.3506970861176709,0.5305638313293457,0.02235676704475581,0.01,scale,rbf,2000,False,,,"{'C': 0.01, 'gamma': 'scale', 'kernel': 'rbf', 'max_iter': 2000, 'shrinking': False}",0.5880551301684533,0.5880551301684533,0.5696784073506891,0.6125574272588055,0.6273006134969326,0.5971293416886667,0.020330115062846477,1981,0.594408272692455,0.6047491382612026,0.598621217924167,0.5947912677135198,0.5980091883614089,0.5981158169905506,0.003716618448689197
8.432903671264649,0.2865940817885406,0.5529393672943115,0.01973390561445217,0.01,auto,rbf,1000,True,,,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 1000, 'shrinking': True}",0.5911179173047473,0.5895865237366003,0.5758039816232772,0.6033690658499234,0.5920245398773006,0.5903804056783697,0.008775588646769979,2034,0.5978552278820375,0.6066641133665263,0.6024511681348143,0.5882803523554194,0.5800153139356815,0.5950532351348958,0.009689211365992314
8.140075445175171,0.4033814338937801,0.5341456413269043,0.02963286080449981,0.01,auto,rbf,1000,False,,,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 1000, 'shrinking': False}",0.5911179173047473,0.5895865237366003,0.5758039816232772,0.6033690658499234,0.5920245398773006,0.5903804056783697,0.008775588646769979,2034,0.5978552278820375,0.6066641133665263,0.6024511681348143,0.5882803523554194,0.5800153139356815,0.5950532351348958,0.009689211365992314
8.309793376922608,0.440893622468537,0.5210019588470459,0.016024712937840288,0.01,auto,rbf,2000,True,,,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 2000, 'shrinking': True}",0.5849923430321593,0.5880551301684533,0.5666156202143952,0.6125574272588055,0.6349693251533742,0.5974379691654376,0.02379138149701622,1978,0.5947912677135198,0.6047491382612026,0.5974722328609728,0.5955572577556492,0.6022205206738132,0.5989580834530315,0.003881121828124514
8.307345485687256,0.3483182017363425,0.5295839309692383,0.03720734016902667,0.01,auto,rbf,2000,False,,,"{'C': 0.01, 'gamma': 'auto', 'kernel': 'rbf', 'max_iter': 2000, 'shrinking': False}",0.5849923430321593,0.5880551301684533,0.5666156202143952,0.6125574272588055,0.6349693251533742,0.5974379691654376,0.02379138149701622,1978,0.5947912677135198,0.6047491382612026,0.5974722328609728,0.5955572577556492,0.6022205206738132,0.5989580834530315,0.003881121828124514
8.606446743011475,0.32450552658606796,0.5283822536468505,0.033275105573662506,0.01,1,rbf,1000,True,,,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 1000, 'shrinking': True}",0.47473200612557426,0.6003062787136294,0.4165390505359878,0.31546707503828486,0.3052147239263804,0.4224518268679714,0.10917019697580055,2886,0.47491382612026045,0.602834163155879,0.4274224435082344,0.30524703178858675,0.3445635528330781,0.4309962034812077,0.10464537352717178
9.002344608306885,0.4590401989230049,0.5286555767059327,0.02158607859330752,0.01,1,rbf,1000,False,,,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 1000, 'shrinking': False}",0.47473200612557426,0.6003062787136294,0.4165390505359878,0.31546707503828486,0.3052147239263804,0.4224518268679714,0.10917019697580055,2886,0.47491382612026045,0.602834163155879,0.4274224435082344,0.30524703178858675,0.3445635528330781,0.4309962034812077,0.10464537352717178
8.99344425201416,0.37043534665694283,0.5297627449035645,0.020503262442332283,0.01,1,rbf,2000,True,,,"{'C': 0.01, 'gamma': 1, 'kernel': 'rbf', 'max_iter': 2000, 'shrinking': True}",0.3445635528330781,0.4992343032159265,0.3537519142419602,0.3460949464012251,0.30828220858895705,0.3703853850562294,0.06632090623474883,3202,0.3293757181156645,0.5101493680582152,0.3531214094216775,0.3378016085790885,0.35222052067381315,0.37653372496969173,0.06740395085000926
